Parent	Child	EdgeType
GO:0034198	GO:0060733	Child-Parent
GO:0034198	GO:1990253	Child-Parent
GO:2000831	GO:2000833	Child-Parent
GO:2000831	GO:2000846	Child-Parent
GO:2000831	GO:2000870	Child-Parent
GO:2000833	GO:2000836	Child-Parent
GO:2000833	GO:2000848	Child-Parent
GO:2000833	GO:2000872	Child-Parent
GO:0030852	GO:0030853	Child-Parent
GO:0030852	GO:0030854	Child-Parent
GO:0030852	GO:0045658	Child-Parent
GO:0030853	GO:0045659	Child-Parent
GO:0030850	GO:0044345	Child-Parent
GO:0030850	GO:0060512	Child-Parent
GO:0030850	GO:0060525	Child-Parent
GO:0030850	GO:0060736	Child-Parent
GO:0030850	GO:0060738	Child-Parent
GO:0030850	GO:0060739	Child-Parent
GO:0030850	GO:0060742	Child-Parent
GO:0030850	GO:0060767	Child-Parent
GO:0030850	GO:0060782	Child-Parent
GO:0030851	GO:0030221	Child-Parent
GO:0030851	GO:0030222	Child-Parent
GO:0030851	GO:0030223	Child-Parent
GO:0030851	GO:0030852	Child-Parent
GO:0030856	GO:0030857	Child-Parent
GO:0030856	GO:0030858	Child-Parent
GO:0030856	GO:0030860	Child-Parent
GO:0030856	GO:0045601	Child-Parent
GO:0030856	GO:0045604	Child-Parent
GO:0030856	GO:0070366	Child-Parent
GO:0030856	GO:1901246	Child-Parent
GO:0030856	GO:1902746	Child-Parent
GO:0030856	GO:2000074	Child-Parent
GO:0030856	GO:2000696	Child-Parent
GO:0030857	GO:0002085	Child-Parent
GO:0030857	GO:0045602	Child-Parent
GO:0030857	GO:0045605	Child-Parent
GO:0030857	GO:0070367	Child-Parent
GO:0030857	GO:1901247	Child-Parent
GO:0030857	GO:1902747	Child-Parent
GO:0030857	GO:2000077	Child-Parent
GO:0030857	GO:2000227	Child-Parent
GO:0030857	GO:2000697	Child-Parent
GO:0030854	GO:0045645	Child-Parent
GO:0030854	GO:0045660	Child-Parent
GO:0030855	GO:0002064	Child-Parent
GO:0030855	GO:0002065	Child-Parent
GO:0030855	GO:0009913	Child-Parent
GO:0030855	GO:0030856	Child-Parent
GO:0030855	GO:0030859	Child-Parent
GO:0030855	GO:0035026	Child-Parent
GO:0030855	GO:0035850	Child-Parent
GO:0030855	GO:0045446	Child-Parent
GO:0030855	GO:0060008	Child-Parent
GO:0030855	GO:0060014	Child-Parent
GO:0030855	GO:0060231	Child-Parent
GO:0030855	GO:0060487	Child-Parent
GO:0030855	GO:0060644	Child-Parent
GO:0030855	GO:0060742	Child-Parent
GO:0030855	GO:0061017	Child-Parent
GO:0030855	GO:0070306	Child-Parent
GO:0030855	GO:0070365	Child-Parent
GO:0030855	GO:0072148	Child-Parent
GO:0030855	GO:0072192	Child-Parent
GO:0030855	GO:1902691	Child-Parent
GO:0030855	GO:1903251	Child-Parent
GO:0030858	GO:0030862	Child-Parent
GO:0030858	GO:0045603	Child-Parent
GO:0030858	GO:0045606	Child-Parent
GO:0030858	GO:0070368	Child-Parent
GO:0030858	GO:1901248	Child-Parent
GO:0030858	GO:1901251	Child-Parent
GO:0030858	GO:1902748	Child-Parent
GO:0030858	GO:2000078	Child-Parent
GO:0030858	GO:2000698	Child-Parent
GO:0030859	GO:0030860	Child-Parent
GO:0030859	GO:0045198	Child-Parent
GO:0031103	GO:0014012	Child-Parent
GO:0031103	GO:0048677	Child-Parent
GO:0031103	GO:0048679	Child-Parent
GO:0031102	GO:0031103	Child-Parent
GO:0031102	GO:0031104	Child-Parent
GO:0031102	GO:0070570	Child-Parent
GO:0031100	GO:0097421	Child-Parent
GO:0031109	GO:0007019	Child-Parent
GO:0031109	GO:0031110	Child-Parent
GO:0031109	GO:0046785	Child-Parent
GO:0050832	GO:0009817	Child-Parent
GO:0050832	GO:0019732	Child-Parent
GO:0050832	GO:0061760	Child-Parent
GO:0050832	GO:0070947	Child-Parent
GO:0050832	GO:1900150	Child-Parent
GO:0050830	GO:0070946	Child-Parent
GO:0034770	GO:0034773	Child-Parent
GO:0034770	GO:0070512	Child-Parent
GO:0034776	GO:0071420	Child-Parent
GO:0097178	GO:1900027	Child-Parent
GO:0097176	GO:1901751	Child-Parent
GO:1900164	GO:1900175	Child-Parent
GO:0051783	GO:0007088	Child-Parent
GO:0051783	GO:0040020	Child-Parent
GO:0051783	GO:0051784	Child-Parent
GO:0051783	GO:0051785	Child-Parent
GO:0051782	GO:0032466	Child-Parent
GO:0051782	GO:0045769	Child-Parent
