Parent	Child	EdgeType
GO:0061733	GO:0004402	Child-Parent
GO:0061733	GO:0019799	Child-Parent
GO:0034190	GO:0034191	Child-Parent
GO:0017171	GO:0008236	Child-Parent
GO:0035174	GO:0035175	Child-Parent
GO:0001067	GO:0000975	Child-Parent
GO:0001067	GO:0001069	Child-Parent
GO:0035173	GO:0035174	Child-Parent
GO:0035173	GO:0035184	Child-Parent
GO:0035173	GO:0035401	Child-Parent
GO:0050833	GO:0005477	Child-Parent
GO:0030291	GO:0004861	Child-Parent
GO:0030291	GO:0004862	Child-Parent
GO:0030291	GO:0008426	Child-Parent
GO:0030292	GO:0030294	Child-Parent
GO:0050839	GO:0005178	Child-Parent
GO:0050839	GO:0045296	Child-Parent
GO:0030295	GO:0019912	Child-Parent
GO:0030295	GO:0030296	Child-Parent
GO:0030295	GO:0043539	Child-Parent
GO:0030296	GO:0030297	Child-Parent
GO:0030296	GO:0030298	Child-Parent
GO:0030492	GO:0031721	Child-Parent
GO:0017002	GO:0016361	Child-Parent
GO:0017002	GO:0016362	Child-Parent
GO:0031072	GO:0030544	Child-Parent
GO:0031072	GO:0051879	Child-Parent
GO:0050780	GO:0031748	Child-Parent
GO:0050780	GO:0031749	Child-Parent
GO:0050780	GO:0031750	Child-Parent
GO:0050780	GO:0031751	Child-Parent
GO:0050780	GO:0031752	Child-Parent
GO:0005488	GO:0000035	Child-Parent
GO:0005488	GO:0003682	Child-Parent
GO:0005488	GO:0003823	Child-Parent
GO:0005488	GO:0005515	Child-Parent
GO:0005488	GO:0005549	Child-Parent
GO:0005488	GO:0008144	Child-Parent
GO:0005488	GO:0008289	Child-Parent
GO:0005488	GO:0008430	Child-Parent
GO:0005488	GO:0015643	Child-Parent
GO:0005488	GO:0019808	Child-Parent
GO:0005488	GO:0019825	Child-Parent
GO:0005488	GO:0030246	Child-Parent
GO:0005488	GO:0033218	Child-Parent
GO:0005488	GO:0035731	Child-Parent
GO:0005488	GO:0036094	Child-Parent
GO:0005488	GO:0042165	Child-Parent
GO:0005488	GO:0042562	Child-Parent
GO:0005488	GO:0043167	Child-Parent
GO:0005488	GO:0044877	Child-Parent
GO:0005488	GO:0046790	Child-Parent
GO:0005488	GO:0046848	Child-Parent
GO:0005488	GO:0046904	Child-Parent
GO:0005488	GO:0048037	Child-Parent
GO:0005488	GO:0050436	Child-Parent
GO:0005488	GO:0050840	Child-Parent
GO:0005488	GO:0051536	Child-Parent
GO:0005488	GO:0060090	Child-Parent
GO:0005488	GO:0070026	Child-Parent
GO:0005488	GO:0072341	Child-Parent
GO:0005488	GO:0097159	Child-Parent
GO:0005488	GO:0097367	Child-Parent
GO:0005488	GO:1901363	Child-Parent
GO:0005488	GO:1901567	Child-Parent
GO:0005488	GO:1901681	Child-Parent
GO:0005488	GO:1904012	Child-Parent
GO:0005488	GO:1904013	Child-Parent
GO:0005488	GO:1904493	Child-Parent
GO:0035004	GO:0016303	Child-Parent
GO:0035004	GO:0035005	Child-Parent
GO:0035004	GO:0046934	Child-Parent
GO:0005487	GO:0005049	Child-Parent
GO:0005487	GO:0090631	Child-Parent
GO:0022884	GO:0008320	Child-Parent
GO:0022884	GO:0051033	Child-Parent
GO:0005230	GO:0005231	Child-Parent
GO:0005230	GO:0005237	Child-Parent
GO:0005230	GO:0022824	Child-Parent
GO:0097001	GO:0035594	Child-Parent
GO:0097001	GO:1902387	Child-Parent
GO:0043142	GO:0017116	Child-Parent
GO:0043140	GO:1990518	Child-Parent
GO:0000983	GO:0001075	Child-Parent
GO:0004844	GO:0017065	Child-Parent
GO:0004844	GO:0043739	Child-Parent
