,Aligned_Term,Aligned_Similarity,Aligned_FDR,Aligned_Term_Description,Label,term_label
846,GO:0046974,0.454267,0.0,histone methyltransferase activity (H3-K9 specific),"846
histone methyltransferase activity (H3-K9 specific)",846
851,GO:0042500,0.137397,0.0,"aspartic endopeptidase activity, intramembrane cleaving","851
aspartic endopeptidase activity, intramembrane cleaving",851
852,GO:0022849,0.147285,0.0,glutamate-gated calcium ion channel activity,"852
glutamate-gated calcium ion channel activity",852
856,GO:0051864,0.104076,0.0,histone demethylase activity (H3-K36 specific),"856
histone demethylase activity (H3-K36 specific)",856
858,GO:0019706,0.331627,0.0,protein-cysteine S-palmitoyltransferase activity,"858
protein-cysteine S-palmitoyltransferase activity",858
859,GO:0005248,0.240947,0.0,voltage-gated sodium channel activity,"859
voltage-gated sodium channel activity",859
862,GO:0046975,0.1982,0.0,histone methyltransferase activity (H3-K36 specific),"862
histone methyltransferase activity (H3-K36 specific)",862
868,GO:0070087,0.103151,0.0,chromo shadow domain binding,"868
chromo shadow domain binding",868
871,GO:0016417,0.227772,0.0,S-acyltransferase activity,"871
S-acyltransferase activity",871
876,GO:0032452,0.203741,0.0,histone demethylase activity,"876
histone demethylase activity",876
887,GO:0070577,0.113759,0.0,lysine-acetylated histone binding,"887
lysine-acetylated histone binding",887
897,GO:0005272,0.122775,0.0,sodium channel activity,"897
sodium channel activity",897
911,GO:0018024,0.236423,0.0,histone-lysine N-methyltransferase activity,"911
histone-lysine N-methyltransferase activity",911
915,GO:0032451,0.124216,0.0,demethylase activity,"915
demethylase activity",915
919,GO:0035064,0.102441,0.0,methylated histone binding,"919
methylated histone binding",919
921,GO:0031492,0.154866,0.0,nucleosomal DNA binding,"921
nucleosomal DNA binding",921
925,GO:0042800,0.109869,0.0,histone methyltransferase activity (H3-K4 specific),"925
histone methyltransferase activity (H3-K4 specific)",925
932,GO:0031491,0.13396,0.0,nucleosome binding,"932
nucleosome binding",932
950,GO:0016279,0.130363,0.0,protein-lysine N-methyltransferase activity,"950
protein-lysine N-methyltransferase activity",950
954,GO:0016278,0.12061,0.0,lysine N-methyltransferase activity,"954
lysine N-methyltransferase activity",954
957,GO:0042393,0.108895,0.0,histone binding,"957
histone binding",957
