	edge_type	node1	node2	weight
('HIST1H4A', 'HIST1H4B', 'STRING_database')	STRING_database	HIST1H4A	HIST1H4B	900
('HIST1H4A', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	HIST1H4A	HIST1H4B	480
('HIST1H4A', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	HIST1H4A	HIST1H4B	800
('HIST1H4A', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	HIST1H4A	HIST1H4B	47
('HIST1H3D', 'HIST1H4B', 'STRING_database')	STRING_database	HIST1H3D	HIST1H4B	900
('HIST1H3D', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	HIST1H3D	HIST1H4B	161
('HIST1H3D', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	HIST1H3D	HIST1H4B	852
('HIST1H3D', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	HIST1H3D	HIST1H4B	690
('HIST1H3D', 'HIST1H4B', 'STRING_other')	STRING_other	HIST1H3D	HIST1H4B	8
('HDAC7', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	HDAC7	HIST1H4B	62
('HDAC7', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	HDAC7	HIST1H4B	184
('HDAC7', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	HDAC7	HIST1H4B	488
('HDAC7', 'HIST1H4B', 'STRING_other')	STRING_other	HDAC7	HIST1H4B	43
('ASH2L', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	ASH2L	HIST1H4B	61
('ASH2L', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	ASH2L	HIST1H4B	51
('ASH2L', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	ASH2L	HIST1H4B	345
('HIST1H4B', 'HIST1H4J', 'STRING_database')	STRING_database	HIST1H4B	HIST1H4J	900
('HIST1H4B', 'HIST1H4J', 'STRING_coexpression')	STRING_coexpression	HIST1H4B	HIST1H4J	333
('HIST1H4B', 'HIST1H4J', 'STRING_experimental')	STRING_experimental	HIST1H4B	HIST1H4J	800
('HIST1H4B', 'HIST1H4J', 'STRING_textmining')	STRING_textmining	HIST1H4B	HIST1H4J	47
('CTNNB1', 'HIST1H4B', 'STRING_experimental')	STRING_experimental	CTNNB1	HIST1H4B	64
('CTNNB1', 'HIST1H4B', 'STRING_textmining')	STRING_textmining	CTNNB1	HIST1H4B	210
('HIST1H2AJ', 'HIST1H4B', 'STRING_coexpression')	STRING_coexpression	HIST1H2AJ	HIST1H4B	377
