,child,parent
0,PLEKHA7,861
1,FAM126A,963
2,ISX,874
3,SNTG2,953
4,PALM2,850
5,PRDM14,904
6,TNRC6A,963
7,TXLNGY,900
8,BRWD1,912
9,TCEAL6,963
10,KANK1,963
11,NIPBL,868
12,CDY1B,870
13,HOXC4,891
14,AUTS2,963
15,ASH1L,962
16,ZNF518B,894
17,ZZEF1,963
18,ZKSCAN8,904
19,ATP2B2,852
20,KAT6B,943
21,CRIPAK,950
22,CAMSAP1,903
23,THOC2,849
24,PRR11,901
25,ING1,866
26,TBC1D32,945
27,PADI6,963
28,DAB2IP,893
29,NALCN,899
30,MLXIP,934
31,ITSN2,889
32,NTRK2,863
33,ING3,881
34,ZMYM2,956
35,RBM27,963
36,SETDB2,846
37,INO80,907
38,PTBP2,963
39,KIFC2,848
40,C19orf68,848
41,CHD3,872
42,HEPN1,890
43,ZNF526,891
44,PCNX,900
45,ZDHHC22,858
46,N4BP2,908
47,CTNNB1,886
48,DENND4A,959
49,GPATCH8,941
50,CAMK2B,852
51,SLFN14,963
52,USP29,963
53,STRN,963
54,RALGAPA2,963
55,HIST1H2AC,873
56,CRTC2,934
57,TCF7L2,908
58,ZNF217,920
59,JMJD7-PLA2G4B,856
60,GRIN2A,852
61,FAM43B,945
62,MRE11A,869
63,HDAC4,963
64,KDM5B,876
65,NPIPA1,901
66,EP300,853
67,849,882
68,ACTN2,852
69,856,915
70,NYAP1,963
71,ZNF137P,963
72,MSANTD2,962
73,SCAF11,849
74,ATAD2B,868
75,PTPN13,888
76,MOG,877
77,ING4,866
78,SRCAP,872
79,880,950
80,887,932
81,ACHE,855
82,PRKCE,917
83,926,938
84,SP1,886
85,RUFY3,963
86,RC3H1,963
87,DDX26B,963
88,NCOA6,901
89,EEF1A1P5,963
90,877,946
91,ZDHHC1,858
92,ARID1B,908
93,IGSF3,878
94,ASH2L,908
95,875,913
96,NAA15,963
97,FOXN2,963
98,HIST1H3H,872
99,STRIP2,963
100,PSEN1,851
101,SCN11A,844
102,SETD1B,911
103,KBTBD4,857
104,MEF2A,892
105,FAM222B,900
106,AKAP10,956
107,CACFD1,945
108,MORF4L2,907
109,ARID4B,898
110,PTPN11,916
111,SMYD2,862
112,MARK3,948
113,TTN,879
114,NR6A1,900
115,SCN4B,844
116,862,904
117,TIAM1,861
118,TRIO,885
119,YY2,869
120,KBTBD2,948
121,KDM3A,956
122,ATXN2,901
123,UFSP1,848
124,BOD1L1,963
125,LSMEM1,871
126,GLTSCR2,857
127,LGI1,879
128,PWWP2B,940
129,ASXL1,901
130,BAZ2A,887
131,LRFN2,874
132,CEP350,905
133,851,875
134,RASAL1,893
135,OTUD4,962
136,FAM135A,870
137,USP34,905
138,DCLRE1C,956
139,DLG5,903
140,ZNF652,962
141,FNDC9,884
142,SRGAP2C,861
143,943,954
144,SETD3,846
145,BIRC6,956
146,CLEC19A,963
147,CHD1,853
148,SMARCA2,887
149,CHD9,853
150,869,963
151,ZNF501,850
152,NFATC4,913
153,WIZ,936
154,AC067968.1,963
155,NCK2,963
156,NRTN,893
