Parent	Child	EdgeType
GO:0035770	GO:0036464	Child-Parent
GO:0035770	GO:0097165	Child-Parent
GO:0034358	GO:0034361	Child-Parent
GO:0034358	GO:0034362	Child-Parent
GO:0034358	GO:0034363	Child-Parent
GO:0034358	GO:0034364	Child-Parent
GO:0034358	GO:0042627	Child-Parent
GO:0033655	GO:0020003	Child-Parent
GO:0033655	GO:0044220	Child-Parent
GO:0033655	GO:0072492	Child-Parent
GO:0033655	GO:0072517	Child-Parent
GO:0005593	GO:0005594	Child-Parent
GO:0005593	GO:0005595	Child-Parent
GO:0005593	GO:0005596	Child-Parent
GO:0005593	GO:0005597	Child-Parent
GO:0030120	GO:0030125	Child-Parent
GO:0030120	GO:0030126	Child-Parent
GO:0030120	GO:0030127	Child-Parent
GO:0005838	GO:0008540	Child-Parent
GO:0005838	GO:0008541	Child-Parent
GO:0005839	GO:0019773	Child-Parent
GO:0005839	GO:0019774	Child-Parent
GO:0034518	GO:0005845	Child-Parent
GO:0034518	GO:0005846	Child-Parent
GO:0030125	GO:0030128	Child-Parent
GO:0030125	GO:0030130	Child-Parent
GO:0034774	GO:0031089	Child-Parent
GO:0034774	GO:0031093	Child-Parent
GO:0034774	GO:0034466	Child-Parent
GO:0034774	GO:0035578	Child-Parent
GO:0034774	GO:0035580	Child-Parent
GO:0034774	GO:0043160	Child-Parent
GO:0097487	GO:0097489	Child-Parent
GO:0097179	GO:0036024	Child-Parent
GO:0097179	GO:0036025	Child-Parent
GO:0097179	GO:0036026	Child-Parent
GO:0097179	GO:0036027	Child-Parent
GO:0097179	GO:0036028	Child-Parent
GO:0097179	GO:0036029	Child-Parent
GO:0097179	GO:0036030	Child-Parent
GO:0097179	GO:0097181	Child-Parent
GO:0097179	GO:0097182	Child-Parent
GO:0097179	GO:0097183	Child-Parent
GO:0031074	GO:0042564	Child-Parent
GO:0031074	GO:0042565	Child-Parent
GO:0046658	GO:0031362	Child-Parent
GO:0042555	GO:0097362	Child-Parent
GO:0005713	GO:0005715	Child-Parent
GO:0031256	GO:0031258	Child-Parent
GO:0031256	GO:0032587	Child-Parent
GO:0031256	GO:0032589	Child-Parent
GO:0031253	GO:0031258	Child-Parent
GO:0031253	GO:0031259	Child-Parent
GO:0031253	GO:0031260	Child-Parent
GO:0031253	GO:0031526	Child-Parent
GO:0031253	GO:0031527	Child-Parent
GO:0031253	GO:0031528	Child-Parent
GO:0031253	GO:0032587	Child-Parent
GO:0031253	GO:0032589	Child-Parent
GO:0031253	GO:0036195	Child-Parent
GO:0031253	GO:0060170	Child-Parent
GO:0031253	GO:0071438	Child-Parent
GO:0031252	GO:0001726	Child-Parent
GO:0031252	GO:0030027	Child-Parent
GO:0031252	GO:0031256	Child-Parent
GO:0031252	GO:0061850	Child-Parent
GO:0036452	GO:0000813	Child-Parent
GO:0036452	GO:0000814	Child-Parent
GO:0036452	GO:0000815	Child-Parent
GO:0036452	GO:0033565	Child-Parent
GO:0030677	GO:0030678	Child-Parent
GO:0030677	GO:0030681	Child-Parent
GO:0030672	GO:0098563	Child-Parent
GO:0030672	GO:0098850	Child-Parent
GO:0030670	GO:0061474	Child-Parent
GO:0008021	GO:0030672	Child-Parent
GO:0008023	GO:0008024	Child-Parent
GO:0008023	GO:0016593	Child-Parent
GO:0008023	GO:0032021	Child-Parent
GO:0008023	GO:0032044	Child-Parent
GO:0008023	GO:0032783	Child-Parent
GO:0008023	GO:0035101	Child-Parent
GO:0008023	GO:0070449	Child-Parent
GO:0044815	GO:0000786	Child-Parent
GO:0044815	GO:0000796	Child-Parent
GO:0010009	GO:0098559	Child-Parent
GO:0010009	GO:0098560	Child-Parent
GO:0010008	GO:0000813	Child-Parent
GO:0010008	GO:0000814	Child-Parent
GO:0010008	GO:0000815	Child-Parent
GO:0010008	GO:0010009	Child-Parent
GO:0010008	GO:0031302	Child-Parent
GO:0010008	GO:0031313	Child-Parent
GO:0010008	GO:0031901	Child-Parent
GO:0010008	GO:0031902	Child-Parent
GO:0010008	GO:0036020	Child-Parent
GO:0010008	GO:0055038	Child-Parent
GO:0099738	GO:0045179	Child-Parent
GO:0099738	GO:0045180	Child-Parent
GO:0099738	GO:0048788	Child-Parent
GO:0099738	GO:0097575	Child-Parent
GO:0008287	GO:0000159	Child-Parent
GO:0008287	GO:0000164	Child-Parent
GO:0008287	GO:0005955	Child-Parent
GO:0008287	GO:0030289	Child-Parent
GO:0008287	GO:0071595	Child-Parent
GO:0008287	GO:0072357	Child-Parent
GO:0099080	GO:0098644	Child-Parent
GO:0099080	GO:0099081	Child-Parent
GO:0099081	GO:0098642	Child-Parent
GO:0099081	GO:0099512	Child-Parent
GO:0032280	GO:0098983	Child-Parent
GO:0001726	GO:0032587	Child-Parent
GO:0070069	GO:0005750	Child-Parent
GO:0070069	GO:0045277	Child-Parent
GO:0000836	GO:0000839	Child-Parent
GO:0000835	GO:0000836	Child-Parent
GO:0019897	GO:0016342	Child-Parent
GO:0019897	GO:0031232	Child-Parent
GO:0019897	GO:0031234	Child-Parent
GO:0019897	GO:0098888	Child-Parent
GO:0019897	GO:0098890	Child-Parent
GO:0071682	GO:0097013	Child-Parent
GO:0035838	GO:0035841	Child-Parent
GO:0061702	GO:0072557	Child-Parent
GO:0061702	GO:0072558	Child-Parent
GO:0061702	GO:0072559	Child-Parent
GO:0061702	GO:0097169	Child-Parent
GO:0034364	GO:0034365	Child-Parent
GO:0034364	GO:0034366	Child-Parent
GO:0005829	GO:0044445	Child-Parent
GO:0071751	GO:0071752	Child-Parent
GO:0034706	GO:0001518	Child-Parent
GO:0034706	GO:0032983	Child-Parent
GO:0034707	GO:0016935	Child-Parent
GO:0034704	GO:0005891	Child-Parent
GO:0034704	GO:1990246	Child-Parent
GO:0034705	GO:0008076	Child-Parent
GO:0034705	GO:0008282	Child-Parent
GO:0034705	GO:0032983	Child-Parent
GO:0034702	GO:0005892	Child-Parent
GO:0034702	GO:0008328	Child-Parent
GO:0034702	GO:0034703	Child-Parent
GO:0034702	GO:0034707	Child-Parent
GO:0034703	GO:0017071	Child-Parent
GO:0034703	GO:0017146	Child-Parent
GO:0034703	GO:0032281	Child-Parent
GO:0034703	GO:0034704	Child-Parent
GO:0034703	GO:0034705	Child-Parent
GO:0034703	GO:0034706	Child-Parent
GO:0034703	GO:1904602	Child-Parent
GO:0005929	GO:0031514	Child-Parent
GO:0005929	GO:0044441	Child-Parent
GO:0005929	GO:0097730	Child-Parent
GO:0030286	GO:0005858	Child-Parent
GO:0030286	GO:0005868	Child-Parent
GO:0005924	GO:0005925	Child-Parent
GO:0005924	GO:0005927	Child-Parent
GO:0034708	GO:0031533	Child-Parent
GO:0034708	GO:0034709	Child-Parent
GO:0034708	GO:0035097	Child-Parent
GO:0034708	GO:0036396	Child-Parent
GO:0034708	GO:0043527	Child-Parent
GO:0098563	GO:0030285	Child-Parent
GO:0098563	GO:0098993	Child-Parent
GO:0030062	GO:0005947	Child-Parent
GO:0030062	GO:0045244	Child-Parent
GO:0060077	GO:0098983	Child-Parent
GO:0060076	GO:0098985	Child-Parent
GO:0005720	GO:0001739	Child-Parent
GO:0005720	GO:0005724	Child-Parent
GO:0005720	GO:0031618	Child-Parent
GO:0005720	GO:1990707	Child-Parent
GO:0005721	GO:0031618	Child-Parent
GO:0097386	GO:0097449	Child-Parent
GO:0097386	GO:0097454	Child-Parent
GO:0097014	GO:0005930	Child-Parent
GO:0097545	GO:0097649	Child-Parent
GO:0098636	GO:0008305	Child-Parent
GO:0098636	GO:1990971	Child-Parent
GO:0030665	GO:0012510	Child-Parent
GO:0030665	GO:0030125	Child-Parent
GO:0030665	GO:0030669	Child-Parent
GO:0030665	GO:0060201	Child-Parent
GO:0030665	GO:0060203	Child-Parent
GO:0030665	GO:0061202	Child-Parent
GO:0030665	GO:0070083	Child-Parent
GO:0005581	GO:0005583	Child-Parent
GO:0005581	GO:0005589	Child-Parent
GO:0005581	GO:0005593	Child-Parent
GO:0005581	GO:0005600	Child-Parent
GO:0005581	GO:0030934	Child-Parent
GO:0005581	GO:0098642	Child-Parent
GO:0005581	GO:0098651	Child-Parent
GO:0030662	GO:0012507	Child-Parent
GO:0030662	GO:0030120	Child-Parent
GO:0030662	GO:0030663	Child-Parent
GO:0030662	GO:0030665	Child-Parent
GO:1902911	GO:0005899	Child-Parent
GO:1902911	GO:0031588	Child-Parent
GO:1902911	GO:1902554	Child-Parent
GO:0030669	GO:0030128	Child-Parent
GO:0030681	GO:0005655	Child-Parent
GO:0044391	GO:0015934	Child-Parent
GO:0044391	GO:0015935	Child-Parent
GO:0014069	GO:0098839	Child-Parent
GO:0045120	GO:0001939	Child-Parent
GO:0045120	GO:0001940	Child-Parent
GO:0090725	GO:0061850	Child-Parent
GO:0090723	GO:0032584	Child-Parent
GO:0090723	GO:0090724	Child-Parent
