term	all_val_genes	cluster_size	num_DECIPHER_CNV	num_DECIPHER_SNV	num_shared_DNV	term	fractionVal	num_genes_in_cluster	term_p-value	term_precision	term_recall	pathway	term_ID
886	9	17	4	4	3	886	0.5294117647058824	17	8.6e-19	0.04	0.824	nuclear chromatin	GO:0000790
920	19	37	5	13	9	920	0.5135135135135135	37	5.48e-13	0.172	0.357	Endometrial cancer	KEGG:05213
892	9	18	3	7	3	892	0.5	18	8.56e-08	0.103	0.429	Endometrial cancer	KEGG:05213
853	4	9	2	4	2	853	0.4444444444444444	9	3.45e-10	0.012	1.0	chromatin organization	GO:0006325
852	4	9	2	2	2	852	0.4444444444444444	9	1.12e-14	0.353	0.667	Ras activation upon Ca2+ influx through NMDA receptor	REAC:R-HSA-442982
902	10	23	7	1	2	902	0.43478260869565216	23	2.66e-15	0.16	0.667	Netrin-1 signaling	REAC:R-HSA-373752
874	6	14	4	0	2	874	0.42857142857142855	14	1.58e-07	0.008	0.786	generation of neurons	GO:0048699
857	4	10	2	1	1	857	0.4	10	0.00173	0.039	0.667	Signaling by RAS mutants	REAC:R-HSA-6802949
925	16	43	9	11	5	925	0.37209302325581395	43	2.08e-19	0.031	0.571	chromatin organization	GO:0006325
942	26	72	7	15	12	942	0.3611111111111111	72	1.79e-19	0.022	0.569	protein phosphorylation	GO:0006468
887	6	17	2	5	2	887	0.35294117647058826	17	5.82e-19	0.029	0.882	chromatin binding	GO:0003682
943	26	74	10	23	10	943	0.35135135135135137	74	3.88e-65	0.077	0.808	chromatin organization	GO:0006325
914	11	32	5	5	3	914	0.34375	32	2.57e-13	0.12	0.45	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	REAC:R-HSA-5693565
948	33	96	14	24	12	948	0.34375	96	1.9e-19	0.016	0.719	nuclear part	GO:0044428
878	5	15	4	0	1	878	0.3333333333333333	15	0.00125	0.333	1.0	FLRT3-LPHN3-UNC5D complex	CORUM:6528
876	5	15	1	3	2	876	0.3333333333333333	15	3.52e-25	0.235	0.857	HDMs demethylate histones	REAC:R-HSA-3214842
931	16	49	8	7	3	931	0.32653061224489793	49	1.62e-15	0.014	0.673	nervous system development	GO:0007399
899	7	22	2	4	2	899	0.3181818181818182	22	9.76e-08	0.025	0.529	Neuronal System	REAC:R-HSA-112316
901	7	22	4	4	1	901	0.3181818181818182	22	0.00137	0.005	0.636	Factor: ZBP89; motif: CCCCKCCCCCNN; match class: 1	TF:M07397_1
898	7	22	3	7	4	898	0.3181818181818182	22	2.73e-25	0.027	0.955	chromatin organization	GO:0006325
911	9	29	6	5	2	911	0.3103448275862069	29	6.07e-39	0.311	0.655	protein-lysine N-methyltransferase activity	GO:0016279
867	4	13	2	1	1	867	0.3076923076923077	13	0.00688	0.039	0.4	Signaling by RAS mutants	REAC:R-HSA-6802949
939	20	66	9	15	5	939	0.30303030303030304	66	2.47e-10	0.012	0.606	nucleoplasm	GO:0005654
854	3	10	0	2	1	854	0.3	10	5.16e-05	0.103	0.375	Interaction between L1 and Ankyrins	REAC:R-HSA-445095
895	6	20	3	4	1	895	0.3	20	1.27e-08	0.028	0.45	regulation of trans-synaptic signaling	GO:0099177
885	5	17	2	1	2	885	0.29411764705882354	17	8.78e-06	0.667	0.667	FLRT3-LPHN3-UNC5B complex	CORUM:6527
918	10	34	3	7	4	918	0.29411764705882354	34	6.47e-08	0.016	0.441	cell morphogenesis	GO:0000902
950	32	109	15	20	11	950	0.29357798165137616	109	8.94e-108	0.12	0.852	chromatin organization	GO:0006325
954	42	144	19	30	14	954	0.2916666666666667	144	9.61e-133	0.151	0.817	chromatin organization	GO:0006325
949	31	108	13	24	11	949	0.28703703703703703	108	4.87e-41	0.069	0.5	chromatin organization	GO:0006325
846	2	7	1	2	1	846	0.2857142857142857	7	2.15e-16	0.149	1.0	histone-lysine N-methyltransferase activity	GO:0018024
936	18	63	10	13	5	936	0.2857142857142857	63	4.73e-21	0.069	0.613	Chromatin organization	REAC:R-HSA-4839726
893	5	18	2	2	1	893	0.2777777777777778	18	7.73e-12	0.037	0.75	MAPK1/MAPK3 signaling	REAC:R-HSA-5684996
916	9	33	3	5	2	916	0.2727272727272727	33	1.4e-15	0.057	0.609	MAPK1/MAPK3 signaling	REAC:R-HSA-5684996
928	13	48	10	1	2	928	0.2708333333333333	48	8.19e-13	0.017	0.558	generation of neurons	GO:0048699
937	17	63	8	8	3	937	0.2698412698412698	63	2.95e-17	0.044	0.381	cell morphogenesis involved in neuron differentiation	GO:0048667
957	55	206	29	37	16	957	0.2669902912621359	206	1.01e-135	0.174	0.684	chromatin organization	GO:0006325
877	4	15	3	1	0	877	0.26666666666666666	15	9.81e-07	0.25	0.667	Atonic seizures	HP:0010819
932	13	50	6	8	4	932	0.26	50	1.5e-58	0.061	0.94	chromatin organization	GO:0006325
953	34	134	19	11	6	953	0.2537313432835821	134	7.64e-27	0.031	0.547	nervous system development	GO:0007399
946	23	92	10	10	5	946	0.25	92	8.29e-26	0.552	0.219	Interaction between L1 and Ankyrins	REAC:R-HSA-445095
962	85	344	38	59	27	962	0.24709302325581395	344	5.98e-79	0.16	0.364	chromatin organization	GO:0006325
947	23	94	11	20	5	947	0.24468085106382978	94	9.56e-18	0.017	0.634	nucleoplasm	GO:0005654
924	10	41	8	1	2	924	0.24390243902439024	41	6.48e-15	0.013	0.725	nervous system development	GO:0007399
955	43	177	21	24	12	955	0.24293785310734464	177	3.06e-33	0.074	0.345	chromatin organization	GO:0006325
960	73	302	39	45	19	960	0.24172185430463577	302	1.89e-110	0.18	0.486	chromatin organization	GO:0006325
959	58	240	29	43	16	959	0.24166666666666667	240	4.26e-57	0.116	0.374	chromatin organization	GO:0006325
951	26	110	12	17	5	951	0.23636363636363636	110	4.61e-25	0.052	0.392	chromatin organization	GO:0006325
958	52	220	28	17	14	958	0.23636363636363636	220	5.64e-35	0.045	0.495	nervous system development	GO:0007399
933	12	51	5	11	4	933	0.23529411764705882	51	3.8e-11	0.007	0.902	nucleus	GO:0005634
952	28	119	13	24	7	952	0.23529411764705882	119	1.28e-22	0.022	0.632	nucleoplasm	GO:0005654
961	76	324	44	25	16	961	0.2345679012345679	324	1.81e-31	0.053	0.407	nervous system development	GO:0007399
945	19	82	8	8	8	945	0.23170731707317074	82	1.08e-12	0.017	0.526	anatomical structure morphogenesis	GO:0009653
908	6	26	3	4	1	908	0.23076923076923078	26	3.04e-08	0.016	0.522	chromatin organization	GO:0006325
868	3	13	1	3	0	868	0.23076923076923078	13	0.00119	0.002	0.923	nucleobase-containing compound metabolic process	GO:0006139
869	3	13	1	1	1	869	0.23076923076923078	13	0.00562	0.333	0.333	RAD50-MRE11-NBN-p200-p350 complex	CORUM:2767
870	3	13	2	2	0	870	0.23076923076923078	13	4.06e-08	0.038	0.462	internal protein amino acid acetylation	GO:0006475
930	11	48	10	0	1	930	0.22916666666666666	48	0.000188	0.018	0.25	cell morphogenesis involved in neuron differentiation	GO:0048667
956	43	191	20	36	13	956	0.225130890052356	191	2.52e-52	0.1	0.407	chromatin organization	GO:0006325
941	16	72	7	14	5	941	0.2222222222222222	72	1.44e-12	0.031	0.338	chromatin organization	GO:0006325
944	17	77	7	9	4	944	0.22077922077922077	77	3.09e-16	0.017	0.592	intracellular signal transduction	GO:0035556
940	15	69	8	8	3	940	0.21739130434782608	69	1.24e-53	0.066	0.761	chromatin organization	GO:0006325
935	13	60	5	6	4	935	0.21666666666666667	60	3.53e-07	0.011	0.491	anatomical structure morphogenesis	GO:0009653
934	11	51	7	5	1	934	0.21568627450980393	51	2.75e-05	0.429	0.125	Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	REAC:R-HSA-2660826
938	14	65	8	5	3	938	0.2153846153846154	65	1.59e-21	0.255	0.448	HDMs demethylate histones	REAC:R-HSA-3214842
915	7	33	4	2	2	915	0.21212121212121213	33	8.2e-21	0.37	0.4	histone demethylase activity	GO:0032452
917	7	33	2	4	3	917	0.21212121212121213	33	1.08e-12	0.021	0.545	signal transduction by protein phosphorylation	GO:0023014
921	8	38	4	5	1	921	0.21052631578947367	38	2.13e-47	0.048	0.974	chromatin organization	GO:0006325
922	8	38	5	2	2	922	0.21052631578947367	38	1.19e-19	0.37	0.333	histone demethylase activity	GO:0032452
905	5	24	3	4	0	905	0.20833333333333334	24	0.00421	0.333	0.333	NR3C2-UBC9-SRC-1 complex	CORUM:3634
906	5	24	5	0	0	906	0.20833333333333334	24	0.00187	0.333	1.0	IRF2BP2-IRF2BP1-IRF2BPL complex	CORUM:6848
963	174	844	98	78	44	963	0.20616113744075829	844	7.35e-77	0.228	0.225	chromatin organization	GO:0006325
923	8	39	4	7	2	923	0.20512820512820512	39	1.45e-25	0.035	0.692	chromatin organization	GO:0006325
879	3	15	0	3	0	879	0.2	15	1.21e-05	0.025	0.429	RAF/MAP kinase cascade	REAC:R-HSA-5673001
907	5	25	4	4	1	907	0.2	25	4.79e-17	0.023	0.72	chromatin organization	GO:0006325
926	9	46	6	3	2	926	0.1956521739130435	46	2.29e-18	0.37	0.263	histone demethylase activity	GO:0032452
897	4	21	0	2	2	897	0.19047619047619047	21	1.85e-36	0.517	0.833	Interaction between L1 and Ankyrins	REAC:R-HSA-445095
912	6	32	3	5	0	912	0.1875	32	1.84e-05	0.005	0.719	nuclear part	GO:0044428
909	5	27	1	2	2	909	0.18518518518518517	27	4.34e-06	0.068	0.222	dendritic spine development	GO:0060996
863	2	11	1	1	0	863	0.18181818181818182	11	8.98e-06	0.006	0.818	neuron part	GO:0097458
861	2	11	1	0	1	861	0.18181818181818182	11	0.000106	0.045	0.364	dendritic spine development	GO:0060996
888	3	17	0	0	3	888	0.17647058823529413	17	5.09e-05	0.017	0.412	actin binding	GO:0003779
910	5	29	4	4	1	910	0.1724137931034483	29	8.35e-17	0.025	0.655	chromatin organization	GO:0006325
891	3	18	1	1	1	891	0.16666666666666666	18	0.0147	0.009	0.333	cell morphogenesis involved in neuron differentiation	GO:0048667
844	1	6	0	1	0	844	0.16666666666666666	6	1.82e-13	0.357	0.833	voltage-gated sodium channel complex	GO:0001518
919	6	36	3	3	1	919	0.16666666666666666	36	5.42e-33	0.039	0.833	chromatin organization	GO:0006325
866	2	12	2	0	0	866	0.16666666666666666	12	4.08e-10	0.105	0.5	histone H3 acetylation	GO:0043966
865	2	12	2	0	0	865	0.16666666666666666	12	2.34e-06	0.667	1.0	FLRT3-LPHN3-UNC5B complex	CORUM:6527
864	2	12	0	2	0	864	0.16666666666666666	12	5.55e-05	0.143	0.25	axonal fasciculation	GO:0007413
929	8	48	6	2	1	929	0.16666666666666666	48	0.00297	0.01	0.333	generation of neurons	GO:0048699
894	3	20	2	0	1	894	0.15	20	1.0	None	None	None	None
927	7	47	2	3	4	927	0.14893617021276595	47	7.32e-12	0.258	0.235	Activated NOTCH1 Transmits Signal to the Nucleus	REAC:R-HSA-2122948
872	2	14	1	2	0	872	0.14285714285714285	14	9.61e-15	0.017	0.929	chromatin organization	GO:0006325
845	1	7	1	0	0	845	0.14285714285714285	7	0.0271	0.2	0.333	Trafficking of myristoylated proteins to the cilium	REAC:R-HSA-5624138
896	3	21	3	0	0	896	0.14285714285714285	21	0.00234	0.2	1.0	ITGA6-ITGB4-Laminin10/12 complex	CORUM:2318
900	3	22	3	0	0	900	0.13636363636363635	22	0.0309	0.167	0.333	Synthesis of wybutosine at G37 of tRNA(Phe)	REAC:R-HSA-6782861
880	2	15	0	1	1	880	0.13333333333333333	15	7.3e-16	0.018	0.933	chromatin organization	GO:0006325
904	3	23	2	1	0	904	0.13043478260869565	23	1.09e-17	0.055	0.706	transferase activity, transferring one-carbon groups	GO:0016741
883	2	16	1	0	1	883	0.125	16	0.0314	0.006	1.0	Factors involved in megakaryocyte development and platelet production	REAC:R-HSA-983231
882	2	16	2	2	0	882	0.125	16	2.58e-06	0.004	0.875	nucleoplasm	GO:0005654
881	2	16	2	0	0	881	0.125	16	4.94e-12	0.033	0.818	Chromatin modifying enzymes	REAC:R-HSA-3247509
848	1	8	1	0	0	848	0.125	8	0.0314	0.005	1.0	Intra-Golgi and retrograde Golgi-to-ER traffic	REAC:R-HSA-6811442
913	4	32	2	3	1	913	0.125	32	3.67e-13	0.258	0.32	Activated NOTCH1 Transmits Signal to the Nucleus	REAC:R-HSA-2122948
884	2	16	2	0	0	884	0.125	16	0.0363	0.018	0.267	Factor: POU2F1:Sox-20; motif: WTGMATAACAAWR; match class: 0	TF:M08406_0
889	2	17	1	1	0	889	0.11764705882352941	17	0.00337	0.333	0.5	p50-p65 NF(kappa)B-SRC1 complex	CORUM:5461
890	2	17	2	0	0	890	0.11764705882352941	17	7.72e-07	0.006	0.812	nervous system development	GO:0007399
850	1	9	1	0	0	850	0.1111111111111111	9	2.34e-06	0.667	1.0	FLRT3-LPHN3-UNC5B complex	CORUM:6527
849	1	9	1	1	0	849	0.1111111111111111	9	0.000927	0.004	0.778	RNA binding	GO:0003723
859	1	10	0	0	1	859	0.1	10	1.17e-25	0.345	1.0	Interaction between L1 and Ankyrins	REAC:R-HSA-445095
855	1	10	1	0	0	855	0.1	10	5.8e-05	0.007	0.778	neuron development	GO:0048666
856	1	10	1	0	0	856	0.1	10	4.03e-11	0.185	0.625	histone demethylase activity	GO:0032452
860	1	11	1	0	0	860	0.09090909090909091	11	2.95e-08	0.286	0.364	voltage-gated sodium channel complex	GO:0001518
862	1	11	1	0	0	862	0.09090909090909091	11	1.21e-19	0.053	1.0	methyltransferase activity	GO:0008168
903	2	23	1	0	1	903	0.08695652173913043	23	1.97e-05	0.028	0.3	postsynaptic density	GO:0014069
871	1	13	1	0	0	871	0.07692307692307693	13	2.91e-25	0.37	0.769	protein-cysteine S-acyltransferase activity	GO:0019707
875	1	14	1	0	0	875	0.07142857142857142	14	2.82e-14	0.5	0.5	Signaling by NOTCH4	REAC:R-HSA-1980150
851	0	9	0	0	0	851	0.0	9	1.38e-15	0.5	0.667	Signaling by NOTCH4	REAC:R-HSA-1980150
858	0	10	0	0	0	858	0.0	10	5.88e-28	0.37	1.0	protein-cysteine S-palmitoyltransferase activity	GO:0019706
847	0	8	0	0	0	847	0.0	8	0.027	0.03	0.4	hsa-miR-6789-3p	MIRNA:hsa-miR-6789-3p
873	0	14	0	0	0	873	0.0	14	5.18e-30	0.132	1.0	nucleosome	GO:0000786
