node1	node2	sim
AC008575.1	AFF2	0.99288256227758
AC008575.1	APH1A	0.9777580071174378
AC008575.1	ARMC5	0.9988137603795966
AC008575.1	BCL9L	0.965005931198102
AC008575.1	CEP128	0.9774614472123369
AC008575.1	DACT3	1.0
AC008575.1	GFRA1	0.9830960854092526
AC008575.1	GRIK2	0.9653024911032028
AC008575.1	KANK1	0.9647093712930012
AC008575.1	LRP1	0.9733096085409252
AC008575.1	MAGI3	0.986061684460261
AC008575.1	MPDZ	0.9638196915776986
AC008575.1	MRAS	0.9635231316725978
AC008575.1	PLEKHA7	0.9902135231316728
AC008575.1	PROSER3	0.9979240806642942
AC008575.1	PSEN2	0.9786476868327402
AC008575.1	PSENEN	0.9869513641755636
AC008575.1	PTPRZ1	0.9587781731909846
AC008575.1	SALL3	0.9961447212336892
AC008575.1	SLC24A2	0.9525504151838672
AC008575.1	STRIP1	0.9958481613285884
AC008575.1	TANC1	0.9836892052194544
AC008575.1	TNIK	0.9919928825622776
AC008575.1	WHSC1	0.973606168446026
AC008575.1	ZNF185	0.9988137603795966
AC067968.1	CCDC101	0.9931791221826808
AC067968.1	EPYC	0.9866548042704626
AC067968.1	HNF1B	0.98220640569395
AC067968.1	METTL25	0.9813167259786476
AC067968.1	TXLNGY	1.0
AC067968.1	TYW5	0.9780545670225386
AC067968.1	ZNF536	0.980723606168446
ACHE	ANK2	0.9635231316725978
ACHE	CACNA1A	0.9546263345195728
ACHE	CALB2	0.9602609727164888
ACHE	CAMK2B	0.9810201660735468
ACHE	CNTN1	0.9709371293001186
ACHE	CNTN2	0.9626334519572954
ACHE	DGUOK	0.9869513641755634
ACHE	DNM1	0.9712336892052196
ACHE	DSCAM	0.9501779359430604
ACHE	ELAVL4	0.9537366548042704
ACHE	EYS	0.9777580071174378
ACHE	FABP7	0.9940688018979834
ACHE	GLDN	0.9934756820877816
ACHE	GRIN2A	0.9575919335705814
ACHE	HPCAL4	0.9525504151838672
ACHE	KCNJ9	0.9830960854092528
ACHE	KCNQ2	0.9647093712930012
ACHE	LGI1	0.9555160142348754
ACHE	MAGI2	0.9516607354685648
ACHE	MAP2	0.9759786476868328
ACHE	MAPK8IP1	0.9608540925266904
ACHE	MAPT	0.9730130486358244
ACHE	MMP16	0.9578884934756822
ACHE	MOG	0.9789442467378412
ACHE	MYCN	0.98220640569395
ACHE	NFASC	0.9555160142348754
ACHE	NGFR	0.98220640569395
ACHE	NRCAM	0.9626334519572954
ACHE	NTRK2	0.9608540925266904
ACHE	PHYHIP	0.9602609727164888
ACHE	PIN1P1	0.9706405693950176
ACHE	PPFIA2	0.9750889679715302
ACHE	PRKCE	0.9682680901542112
ACHE	SCN2A	0.9709371293001186
ACHE	SNTG2	0.9783511269276396
ACHE	SYN1	0.9715302491103204
ACTB	ACTN4	0.9887307236061684
ACTB	BRD7	0.9715302491103204
ACTB	CTNNB1	0.9916963226571768
ACTB	HDAC7	0.9549228944246736
ACTB	HIST1H2AC	0.9762752075919336
