symbol	description	original_symbol	matches
A2M	alpha-2-macroglobulin	A2M	
A2ML1	alpha-2-macroglobulin like 1	A2ML1	
AASS	aminoadipate-semialdehyde synthase	AASS	
ABCA1	ATP binding cassette subfamily A member 1	ABCA1	
ABCA13	ATP binding cassette subfamily A member 13	ABCA13	
ABCA7	ATP binding cassette subfamily A member 7	ABCA7	
ABCB9	ATP binding cassette subfamily B member 9	ABCB9	
ABCG1	ATP binding cassette subfamily G member 1	ABCG1	
ABI1	abl interactor 1	ABI1	
ABI2	abl interactor 2	ABI2	
ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	ABL1	
ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	ABL2	
ABR	active BCR-related	ABR	
ABTB1	ankyrin repeat and BTB domain containing 1	ABTB1	
ACACB	acetyl-CoA carboxylase beta	ACACB	
ACHE	acetylcholinesterase (Cartwright blood group)	ACHE	
ACOX2	acyl-CoA oxidase 2	ACOX2	
ACTB	actin beta	ACTB	
ACTN4	actinin alpha 4	ACTN4	
ACTR6	ARP6 actin related protein 6 homolog	ACTR6	
ADAM33	ADAM metallopeptidase domain 33	ADAM33	
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAMTS10	
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	ADAMTS16	
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	ADAMTS9	
ADCY5	adenylate cyclase 5	ADCY5	
ADCY9	adenylate cyclase 9	ADCY9	
ADNP	activity dependent neuroprotector homeobox	ADNP	
AFM	afamin	AFM	
AGAP1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"	AGAP1	
AGO1	"argonaute 1, RISC catalytic component"	AGO1	
AHDC1	AT-hook DNA binding motif containing 1	AHDC1	
AHNAK	AHNAK nucleoprotein	AHNAK	
AKAP12	A-kinase anchoring protein 12	AKAP12	
AKAP9	A-kinase anchoring protein 9	AKAP9	
AKR1C4	aldo-keto reductase family 1 member C4	AKR1C4	
ALAS1	5'-aminolevulinate synthase 1	ALAS1	
ALDH1A2	aldehyde dehydrogenase 1 family member A2	ALDH1A2	
ALDH1L1	aldehyde dehydrogenase 1 family member L1	ALDH1L1	
ALDH5A1	aldehyde dehydrogenase 5 family member A1	ALDH5A1	
ALDOB	"aldolase, fructose-bisphosphate B"	ALDOB	
ALG13	"ALG13, UDP-N-acetylglucosaminyltransferase subunit"	ALG13	
ALOX15B	"arachidonate 15-lipoxygenase, type B"	ALOX15B	
ALPL	"alkaline phosphatase, liver/bone/kidney"	ALPL	
AMBP	alpha-1-microglobulin/bikunin precursor	AMBP	
AMY2B	"amylase, alpha 2B (pancreatic)"	AMY2B	
ANGPT2	angiopoietin 2	ANGPT2	
ANGPTL5	angiopoietin like 5	ANGPTL5	
ANK2	ankyrin 2	ANK2	
ANK3	ankyrin 3	ANK3	
ANKFN1	ankyrin repeat and fibronectin type III domain containing 1	ANKFN1	
ANKRD11	ankyrin repeat domain 11	ANKRD11	
ANKRD12	ankyrin repeat domain 12	ANKRD12	
ANKRD50	ankyrin repeat domain 50	ANKRD50	
ANO5	anoctamin 5	ANO5	
ANO9	anoctamin 9	ANO9	
AP3D1	adaptor related protein complex 3 delta 1 subunit	AP3D1	
AP3S2	adaptor related protein complex 3 sigma 2 subunit	AP3S2	
APBB1	amyloid beta precursor protein binding family B member 1	APBB1	
APC2	"APC2, WNT signaling pathway regulator"	APC2	
APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2	APEX2	
APH1A	"aph-1 homolog A, gamma-secretase subunit"	APH1A	
ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	ARFGEF1	
ARHGAP30	Rho GTPase activating protein 30	ARHGAP30	
ARHGAP5	Rho GTPase activating protein 5	ARHGAP5	
ARHGEF3	Rho guanine nucleotide exchange factor 3	ARHGEF3	
ARHGEF4	Rho guanine nucleotide exchange factor 4	ARHGEF4	
ARHGEF5	Rho guanine nucleotide exchange factor 5	ARHGEF5	
ARID1B	AT-rich interaction domain 1B	ARID1B	
ARVCF	"ARVCF, delta catenin family member"	ARVCF	
ASAH2	N-acylsphingosine amidohydrolase 2	ASAH2	
ASAP3	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"	ASAP3	
ASB17	ankyrin repeat and SOCS box containing 17	ASB17	
ASH1L	ASH1 like histone lysine methyltransferase	ASH1L	
ASNA1	"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"	ASNA1	
ASXL1	"additional sex combs like 1, transcriptional regulator"	ASXL1	
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ATIC	
ATP10D	ATPase phospholipid transporting 10D (putative)	ATP10D	
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	ATP1A1	
ATP1B1	ATPase Na+/K+ transporting subunit beta 1	ATP1B1	
ATP1B2	ATPase Na+/K+ transporting subunit beta 2	ATP1B2	
ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	ATP2A1	
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	ATP2A2	
ATP2B2	ATPase plasma membrane Ca2+ transporting 2	ATP2B2	
