	d1	d2	edge_label	neg_logP_shared_network	num_shared_network	obs_exp
0	psoriasis	atherosclerosis	0.0	inf	1535.0	2.8459655888460396
1	psoriasis	kartagena	1.0	-0.0	110.0	0.42743345638235863
2	psoriasis	CHD	0.94	0.06612320870636336	353.0	0.9292897383246459
3	psoriasis	ASD	1.0	-0.0	222.0	0.533987588396594
4	atherosclerosis	kartagena	1.0	-0.0	134.0	0.3771566889020237
5	atherosclerosis	CHD	0.098	2.320910991789346	558.0	1.046452750220355
6	atherosclerosis	ASD	1.0	-0.0	257.0	0.45028471309680246
7	kartagena	CHD	1.0	3.611280279881174e-05	188.0	0.7613802041146931
8	kartagena	ASD	0.084	2.4773389184945107	290.0	1.064610866372981
9	CHD	ASD	2.7e-117	268.4122720437931	844.0	2.0777941900541608
