symbol	gene	description	original_symbol	ASD_high_conf	EPI_high_conf	CHD_high_conf	ASD_DNV	EPI_DNV	CHD_DNV	matches
A2M	2	alpha-2-macroglobulin	A2M	0	0	0	0	1	0	
A2ML1	144568	alpha-2-macroglobulin like 1	A2ML1	0	0	0	1	0	0	
AASS	10157	aminoadipate-semialdehyde synthase	AASS	0	0	0	1	0	0	
ABCA1	19	ATP binding cassette subfamily A member 1	ABCA1	0	0	0	1	0	0	
ABCA13	154664	ATP binding cassette subfamily A member 13	ABCA13	0	0	0	1	0	0	
ABCA7	10347	ATP binding cassette subfamily A member 7	ABCA7	0	0	0	1	0	0	
ABCB9	23457	ATP binding cassette subfamily B member 9	ABCB9	0	0	0	1	0	0	
ABCG1	9619	ATP binding cassette subfamily G member 1	ABCG1	0	0	0	1	0	1	
ABI1	10006	abl interactor 1	ABI1	0	0	0	0	0	1	
ABI2	10152	abl interactor 2	ABI2	0	0	0	1	0	0	
ABL1	25	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	ABL1	0	0	0	1	0	0	
ABL2	27	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	ABL2	0	0	0	1	0	1	
ABR	29	active BCR-related	ABR	0	0	0	1	0	0	
ABTB1	80325	ankyrin repeat and BTB domain containing 1	ABTB1	0	0	0	1	0	0	
ACACB	32	acetyl-CoA carboxylase beta	ACACB	0	0	0	1	0	0	
ACHE	43	acetylcholinesterase (Cartwright blood group)	ACHE	1	0	0	0	0	0	
ACOX2	8309	acyl-CoA oxidase 2	ACOX2	0	0	0	1	0	0	
ACTB	60	actin beta	ACTB	0	0	0	0	0	1	
ACTN4	81	actinin alpha 4	ACTN4	0	0	0	1	0	0	
ACTR6	64431	ARP6 actin related protein 6 homolog	ACTR6	0	0	0	1	0	0	
ADAM33	80332	ADAM metallopeptidase domain 33	ADAM33	0	0	0	1	0	0	
ADAMTS10	81794	ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAMTS10	0	0	0	1	0	0	
ADAMTS16	170690	ADAM metallopeptidase with thrombospondin type 1 motif 16	ADAMTS16	0	0	0	0	0	1	
ADAMTS9	56999	ADAM metallopeptidase with thrombospondin type 1 motif 9	ADAMTS9	0	0	0	1	0	0	
ADCY5	111	adenylate cyclase 5	ADCY5	0	0	0	1	0	0	
ADCY9	115	adenylate cyclase 9	ADCY9	0	0	0	1	0	0	
ADNP	23394	activity dependent neuroprotector homeobox	ADNP	1	0	0	1	0	0	
AFM	173	afamin	AFM	0	0	0	1	0	0	
AGAP1	116987	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"	AGAP1	0	0	0	1	0	0	
AGO1	26523	"argonaute 1, RISC catalytic component"	AGO1	0	0	0	1	0	0	
AHDC1	27245	AT-hook DNA binding motif containing 1	AHDC1	0	0	0	1	0	0	
AHNAK	79026	AHNAK nucleoprotein	AHNAK	0	0	1	0	0	1	
AKAP12	9590	A-kinase anchoring protein 12	AKAP12	0	0	0	0	0	1	
AKAP9	10142	A-kinase anchoring protein 9	AKAP9	1	0	0	1	0	0	
AKR1C4	1109	aldo-keto reductase family 1 member C4	AKR1C4	0	0	0	0	1	0	
ALAS1	211	5'-aminolevulinate synthase 1	ALAS1	0	0	0	0	0	1	
ALDH1A2	8854	aldehyde dehydrogenase 1 family member A2	ALDH1A2	0	0	0	0	0	1	
ALDH1L1	10840	aldehyde dehydrogenase 1 family member L1	ALDH1L1	0	0	0	1	0	0	
ALDH5A1	7915	aldehyde dehydrogenase 5 family member A1	ALDH5A1	0	0	0	1	0	0	
ALDOB	229	"aldolase, fructose-bisphosphate B"	ALDOB	0	0	0	0	0	1	
ALG13	79868	"ALG13, UDP-N-acetylglucosaminyltransferase subunit"	ALG13	0	1	0	0	1	0	
ALOX15B	247	"arachidonate 15-lipoxygenase, type B"	ALOX15B	0	0	0	0	0	1	
ALPL	249	"alkaline phosphatase, liver/bone/kidney"	ALPL	0	0	0	0	0	1	
AMBP	259	alpha-1-microglobulin/bikunin precursor	AMBP	0	0	0	1	0	0	
AMY2B	280	"amylase, alpha 2B (pancreatic)"	AMY2B	0	0	0	1	0	0	
ANGPT2	285	angiopoietin 2	ANGPT2	0	0	0	1	0	0	
ANGPTL5	253935	angiopoietin like 5	ANGPTL5	0	0	0	0	0	1	
ANK2	287	ankyrin 2	ANK2	1	0	0	1	0	0	
ANK3	288	ankyrin 3	ANK3	0	0	0	1	1	1	
ANKFN1	162282	ankyrin repeat and fibronectin type III domain containing 1	ANKFN1	0	0	0	1	0	0	
ANKRD11	29123	ankyrin repeat domain 11	ANKRD11	0	0	0	1	0	0	
ANKRD12	23253	ankyrin repeat domain 12	ANKRD12	0	0	0	0	1	0	
ANKRD50	57182	ankyrin repeat domain 50	ANKRD50	0	0	0	0	1	0	
ANO5	203859	anoctamin 5	ANO5	0	0	0	1	0	0	
ANO9	338440	anoctamin 9	ANO9	0	0	0	1	0	0	
AP3D1	8943	adaptor related protein complex 3 delta 1 subunit	AP3D1	0	0	0	1	0	0	
AP3S2	10239	adaptor related protein complex 3 sigma 2 subunit	AP3S2	0	0	0	0	1	0	
APBB1	322	amyloid beta precursor protein binding family B member 1	APBB1	0	0	0	1	0	0	
APC2	10297	"APC2, WNT signaling pathway regulator"	APC2	0	0	0	1	0	0	
APEX2	27301	apurinic/apyrimidinic endodeoxyribonuclease 2	APEX2	0	0	0	1	0	0	
APH1A	51107	"aph-1 homolog A, gamma-secretase subunit"	APH1A	1	0	0	0	0	0	
ARFGEF1	10565	ADP ribosylation factor guanine nucleotide exchange factor 1	ARFGEF1	0	0	0	0	1	0	
ARHGAP30	257106	Rho GTPase activating protein 30	ARHGAP30	0	0	0	1	0	0	
ARHGAP5	394	Rho GTPase activating protein 5	ARHGAP5	0	0	0	1	0	0	
ARHGEF3	50650	Rho guanine nucleotide exchange factor 3	ARHGEF3	0	0	0	1	0	0	
ARHGEF4	50649	Rho guanine nucleotide exchange factor 4	ARHGEF4	0	0	0	0	0	1	
ARHGEF5	7984	Rho guanine nucleotide exchange factor 5	ARHGEF5	0	0	0	0	0	1	
ARID1B	57492	AT-rich interaction domain 1B	ARID1B	1	0	0	1	0	1	
ARVCF	421	"ARVCF, delta catenin family member"	ARVCF	0	0	0	1	0	0	
ASAH2	56624	N-acylsphingosine amidohydrolase 2	ASAH2	0	0	0	1	0	0	
ASAP3	55616	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"	ASAP3	0	0	0	0	0	1	
ASB17	127247	ankyrin repeat and SOCS box containing 17	ASB17	0	0	0	0	0	1	
ASH1L	55870	ASH1 like histone lysine methyltransferase	ASH1L	1	0	0	1	0	1	
ASNA1	439	"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"	ASNA1	0	0	0	0	0	1	
ASXL1	171023	"additional sex combs like 1, transcriptional regulator"	ASXL1	0	0	0	0	1	0	
ATIC	471	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ATIC	0	0	0	1	0	1	
ATP10D	57205	ATPase phospholipid transporting 10D (putative)	ATP10D	0	0	0	1	0	0	
ATP1A1	476	ATPase Na+/K+ transporting subunit alpha 1	ATP1A1	0	0	0	1	0	0	
ATP1B1	481	ATPase Na+/K+ transporting subunit beta 1	ATP1B1	0	0	0	1	0	0	
ATP1B2	482	ATPase Na+/K+ transporting subunit beta 2	ATP1B2	0	0	0	0	0	1	
ATP2A1	487	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	ATP2A1	0	0	0	1	0	0	
ATP2A2	488	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	ATP2A2	0	0	0	0	0	1	
ATP2B2	491	ATPase plasma membrane Ca2+ transporting 2	ATP2B2	0	0	0	1	0	0	
ATP2B4	493	ATPase plasma membrane Ca2+ transporting 4	ATP2B4	0	0	0	0	1	0	
ATP4A	495	ATPase H+/K+ transporting alpha subunit	ATP4A	0	0	0	1	0	0	
ATP6V1B2	526	ATPase H+ transporting V1 subunit B2	ATP6V1B2	0	0	0	0	0	1	
ATRX	546	"ATRX, chromatin remodeler"	ATRX	0	0	0	0	0	1	
B3GNT4	79369	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4"	B3GNT4	0	0	0	0	1	0	
B4GALNT1	2583	"beta-1,4-N-acetyl-galactosaminyltransferase 1"	B4GALNT1	0	0	0	1	0	0	
ADGRB1	575	adhesion G protein-coupled receptor B1	BAI1	0	0	0	1	0	0	DIF
ADGRB3	577	adhesion G protein-coupled receptor B3	BAI3	0	0	0	1	0	0	DIF
BAZ2B	29994	bromodomain adjacent to zinc finger domain 2B	BAZ2B	0	0	0	1	0	0	
BCL11A	53335	B-cell CLL/lymphoma 11A	BCL11A	1	0	0	1	0	0	
BCLAF1	9774	BCL2 associated transcription factor 1	BCLAF1	0	0	0	0	1	0	
BHLHE22	27319	basic helix-loop-helix family member e22	BHLHE22	0	0	0	0	1	0	
BLK	640	"BLK proto-oncogene, Src family tyrosine kinase"	BLK	0	0	0	1	0	0	
BMP1	649	bone morphogenetic protein 1	BMP1	0	0	0	1	0	0	
